username;date;text;mentions;hashtags;id
;2017-03-31 07:32;"We have sent you a DM :)";;;"847592400398757888"
;2017-03-31 07:29;"We are investigating the issue, but it takes some time. What we know right now is that the subscription is suspended, not cancelled.";;;"847591724838989824"
;2017-03-31 05:32;"@SkypeSupport @XboxSupport @WindowsSupport @MicrosoftHelps @Google @Lumia @AppleSupport help";@SkypeSupport @XboxSupport @WindowsSupport @MicrosoftHelps @Google @Lumia @AppleSupport;;"847562074968469504"
;2017-03-31 05:26;"Read the chat with cust svc ref #1380335718. Call me on Skype for more. This is not #CustomerEngagement . Tweets are a start, not the end.";;#1380335718 #CustomerEngagement;"847560674196586500"
;2017-03-31 04:32;". @SkypeSupport why does this constantly happen on my Lumia 950, forcing me to re-pair with my win10 laptops for sms relay? Driving me crazy pic.twitter.com/izlooz56Oa";@SkypeSupport;;"847547119577837568"
;2017-03-31 04:23;"Wow! Skype is deathly afraid to actually talk with its customers. Done with trying to solve your biz model 120 char at a time #Communication";;#Communication;"847544882168123392"
;2017-03-31 04:00;"And the latest skype version according to the app store";;;"847538934884302848"
;2017-03-31 03:59;"i'm using iphone. MS account";;;"847538833860300801"
;2017-03-31 03:51;"following you now thanks";;;"847536900722368512"
;2017-03-31 03:49;"@SkypeSupport I've got a microsoft account and cannot login using my macbook - strangely I can using windows and web versions. Ideas?";@SkypeSupport;;"847536364346372097"
;2017-03-31 03:38;"In that case, please reach out to @SkypeBusiness instead :)";@SkypeBusiness;;"847533541340610560"
;2017-03-31 03:36;"Wanted to send my coworker a Drake gif and was sorely disappointed";;;"847532887255556096"
;2017-03-31 03:35;"Please follow us so we can email you :)";;;"847532750345314304"
;2017-03-31 03:34;"Not on desktop Skype for Business";;;"847532562054434816"
;2017-03-31 03:31;"What is your device, and the Skype version you are currently using on it? Are you signing in with a Skype or MS account?";;;"847531626309574656"
;2017-03-31 03:30;"2/2 without cancelling the subscription?";;;"847531374563250177"
;2017-03-31 03:29;"1/2 Just to clarify, the payment method currently assigned to the subscription is expiring, and you were told you cannot update it";;;"847531124251398144"
;2017-03-31 03:21;"@SkypeSupport It is just me? pic.twitter.com/vFbwiyUt9l";@SkypeSupport;;"847529346529017856"
;2017-03-31 03:16;"skype login is the same as my twitter account and email i can give it to you via DM if that helps...";;;"847528041551101953"
;2017-03-31 03:13;"Do you recognize the activity? Have you set these songs as your mood message on Skype, or sent them to your contacts?";;;"847527204481359872"
;2017-03-31 03:08;"We find that hard to believe, we have quite the list of emoticons, and emojis, for you to choose from!";;;"847525949910503425"
;2017-03-31 03:08;"i have no idea which microsoft account it is linked to...all i know is that i don't receive the auth code to my registered email...nightmare";;;"847525846671863809"
;2017-03-31 02:46;"This is what it looks like and I don't understand how it got there or how to get rid of it! Can you help? pic.twitter.com/uwWAPB3d2U";;;"847520398065520640"
;2017-03-31 02:45;". . . Then they recycle me back to the community "solutions." My problem is that I have all of this MUSIC showing up . . .";;;"847520143320272896"
;2017-03-31 02:44;"Sure. https:// community.skype.com/t5/Security-Pr ivacy-Trust-and/Billing-fraud-by-Skype/m-p/4640088#M68629 …";;#M68629;"847519839216254976"
;2017-03-31 02:44;"thank you of your response. I have repeatedly signed in, get to the drop down menus, and then they recycle me . . .";;;"847519829057835009"
;2017-03-31 02:41;"Yep. Twice";;;"847519093431422976"
;2017-03-31 02:40;"That is usually indicative of a connection issue. First though, please make sure you are both on the latest version of Skype.";;;"847518912287821825"
;2017-03-31 02:38;"Please use the password of the Microsoft Account your Skype ID is now linked to, and try logging in again.";;;"847518417498374148"
;2017-03-31 02:37;"@SkypeSupport I need help with my account";@SkypeSupport;;"847518170692947975"
;2017-03-31 02:37;"Can you please link us to the post you made in the Skype Community, so we can take a look?";;;"847518037280542721"
;2017-03-31 02:36;"Thank you for the update. We have contacted our Skype for Web team and let them know of this issue. Stay tuned for an update.";;;"847517787698401280"
;2017-03-31 02:29;"@SkypeSupport having issues resetting my pwd, don't receive code on my registered email then web form, you keep refusing it! Help pls!";@SkypeSupport;;"847516153413062656"
;2017-03-31 02:25;"We needed to check if you could access other MS addresses. Have you tried uninstalling and reinstalling Skype?";;;"847515115125714944"
;2017-03-31 02:10;"Me too. Skype / Microsoft suspect subscription billing practices are an unnecessary annoyance to customers. Detailed in community post";;;"847511351219990531"
;2017-03-31 02:00;"@SkypeSupport on a call with my friend and the video keeps freezing and the only way to fix it is to turn the video off and back on. Help";@SkypeSupport;;"847508757084897280"
;2017-03-31 01:49;"i appreciate that.";;;"847506171866918912"
;2017-03-31 01:49;"@SkypeBusiness Team @Skype @SkypeSupport I'd really appreciate if U cud make Sign-In process much simpler...It takes so much time 2 get-in!";@SkypeBusiness @Skype @SkypeSupport;;"847505987015774208"
;2017-03-31 01:41;"Not working since the @firefox update.";@firefox;;"847504083850113026"
;2017-03-31 01:32;"Can you please uninstall Skype, and reinstall Skype from this link? http:// sk.ype.ms/ORxLGY";;;"847501794095751169"
;2017-03-31 01:24;"Yeah and then? pic.twitter.com/f2GmLe9LJ6";;;"847499831710842881"
;2017-03-31 01:23;"Thank you for the feedback. We will contact our team to see what could have caused this, and make sure it doesn't happen again.";;;"847499415304642560"
;2017-03-31 01:20;"Thank you for your feedback :)";;;"847498798284857344"
;2017-03-31 01:19;"Go to Tools> Options> Video Settings> Camera settings, and adjust the camera zoom there :)";;;"847498407753072642"
;2017-03-31 01:17;"desktop. and not to my knowledge. it's pretty much always running in the background.";;;"847498030399934464"
;2017-03-31 01:15;"Can you access http:// account.live.com ?";;;"847497537598529536"
;2017-03-31 01:14;"@Patitude1 2/2 that you are using a different email address to reset your Skype password? Please follow us so we can DM you.";@Patitude1;;"847497149835132931"
;2017-03-31 01:13;"@Patitude1 1/2 We checked and checked, but can't find any request for a password reset on the email related with that account. Could it be";@Patitude1;;"847497019312754688"
;2017-03-31 01:05;"To everyone. Windows 8~ 64bit~ Skype version 734.1.102~ what should i do? i lost a job opportunity bc of this";;;"847495018591821824"
;2017-03-31 01:01;"Hi there. Which device are you on? Was there a screen that asked to import contacts from your address book?";;;"847494020301508608"
;2017-03-31 00:59;"Hi there. Your Skype is now linked with an MSA, and to use Skype again you need to use this form: http:// sk.ype.ms/qZKse9";;;"847493493974982656"
;2017-03-31 00:56;"If you are on a Windows 10 machine, please uninstall/reinstall Skype, and check if there are any Windows updates pending.";;;"847492749146284032"
;2017-03-31 00:54;"Just to clarify: you want to hide the profile pictures of your contacts? Because that is not possible :(";;;"847492336976318464"
;2017-03-31 00:54;"Done that, I uninstalled and reinstalled and still not working! I'm using Wifi.";;;"847492159552880640"
;2017-03-31 00:52;"Please try uninstalling Skype, restarting your device, and logging in again. Are you on WiFi or 3G/4G?";;;"847491839405899776"
;2017-03-31 00:49;"Hi there! Are you still unable to make calls via your browser? We may have been doing some maintenance yesterday.";;;"847490857750020098"
;2017-03-31 00:48;"how can i get back into my account please so i don't have to create a new one?";;;"847490807502217216"
;2017-03-31 00:48;"If you can log in, our agents are here to chat with you: http:// sk.ype.ms/fcgWqF ? What is the issue though?";;;"847490607622651904"
;2017-03-31 00:47;"and email sent to skype help address i found in old web article was returned saying 'this is an unmonitored email queue'";;;"847490561430798336"
;2017-03-31 00:46;". @SkypeSupport this is the third account attempt. Please help";@SkypeSupport;;"847490325828345856"
;2017-03-31 00:46;"i can't get chat support because can't log into account";;;"847490221805510657"
;2017-03-31 00:46;"We are very sorry to hear that. What seems to be the issue? Is this related to credit or a subscription?";;;"847490209788723200"
;2017-03-31 00:46;". @SkypeSupport @skype whenever I try to log in I keep getting this message. The connection is perfectly fine! pic.twitter.com/Tg4vfItZdU";@SkypeSupport @skype;;"847490100736831489"
;2017-03-31 00:45;"@SkypeSupport I am not getting the recovery code email and can't access account - email and pw are correct but code not coming to me - HELP?";@SkypeSupport;;"847490034080952320"
;2017-03-31 00:45;"Does this happen with all of your contacts, or just a specific one/few? What is your platform, OS, and Skype version number?";;;"847489851112828928"
;2017-03-31 00:44;"@SkypeSupport I can't express the full range of my emotions with your tiny set of emoticons you haven't updated in 15 years";@SkypeSupport;;"847489688558379008"
;2017-03-31 00:33;"Hi there. Can you please share with us a screenshot so we understand a little better the thumbnails you are referring to?";;;"847486832979791872"
